run_id,arch,level,mode,seed,best_val_acc,epochs_ran,train_time_s,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
convnext_tiny_L4_pretrained_s2,convnext_tiny,4,pretrained,2,0.727,22,40.7,0.9321,0.9793,0.9002,0.466,0.5627,28600000,360.72
convnext_tiny_Lfull_pretrained_s0,convnext_tiny,full,pretrained,0,0.7666,25,44.0,0.9829,0.9726,0.9529,0.4746,0.5502,28600000,357.33
convnext_tiny_Lfull_pretrained_s1,convnext_tiny,full,pretrained,1,0.7709,37,48.3,0.9883,0.9821,0.959,0.4845,0.5779,28600000,370.7
convnext_tiny_Lfull_pretrained_s2,convnext_tiny,full,pretrained,2,0.7542,44,43.5,0.9669,0.9798,0.9357,0.4883,0.5918,28600000,360.72
efficientnetv2_s_L1_pretrained_s0,efficientnetv2_s,1,pretrained,0,0.534,43,20.4,0.6846,0.899,0.6828,0.3252,0.4195,21500000,302.52
efficientnetv2_s_L1_pretrained_s1,efficientnetv2_s,1,pretrained,1,0.5492,50,20.8,0.7041,0.8744,0.6765,0.3091,0.4059,21500000,295.76
efficientnetv2_s_L1_pretrained_s2,efficientnetv2_s,1,pretrained,2,0.5167,59,20.6,0.6625,0.864,0.625,0.3019,0.4445,21500000,314.7
efficientnetv2_s_L2_pretrained_s0,efficientnetv2_s,2,pretrained,0,0.6927,48,26.6,0.8881,0.9435,0.8578,0.4509,0.5855,21500000,298.04
efficientnetv2_s_L2_pretrained_s1,efficientnetv2_s,2,pretrained,1,0.6595,46,27.7,0.8455,0.9426,0.8164,0.4201,0.4926,21500000,301.86
efficientnetv2_s_L2_pretrained_s2,efficientnetv2_s,2,pretrained,2,0.6387,17,28.1,0.8189,0.9323,0.8045,0.4126,0.5196,21500000,300.0
efficientnetv2_s_L3_pretrained_s0,efficientnetv2_s,3,pretrained,0,0.6907,27,34.7,0.8856,0.9574,0.858,0.4846,0.6161,21500000,291.1
efficientnetv2_s_L3_pretrained_s1,efficientnetv2_s,3,pretrained,1,0.7206,17,34.8,0.9238,0.9722,0.9009,0.427,0.5456,21500000,291.12
efficientnetv2_s_L3_pretrained_s2,efficientnetv2_s,3,pretrained,2,0.6946,29,33.6,0.8906,0.9589,0.8644,0.4394,0.5374,21500000,311.77
efficientnetv2_s_L4_pretrained_s0,efficientnetv2_s,4,pretrained,0,0.6854,38,36.5,0.8787,0.9491,0.8541,0.4453,0.5378,21500000,302.62
efficientnetv2_s_L4_pretrained_s1,efficientnetv2_s,4,pretrained,1,0.7523,25,37.9,0.9645,0.9705,0.9442,0.4757,0.5745,21500000,310.4
efficientnetv2_s_L4_pretrained_s2,efficientnetv2_s,4,pretrained,2,0.7345,28,40.9,0.9417,0.994,0.9252,0.4796,0.6145,21500000,306.62
efficientnetv2_s_Lfull_pretrained_s0,efficientnetv2_s,full,pretrained,0,0.7442,37,47.8,0.9541,0.9823,0.9185,0.4968,0.5733,21500000,300.56
efficientnetv2_s_Lfull_pretrained_s1,efficientnetv2_s,full,pretrained,1,0.7671,53,45.8,0.9834,1.0,0.9721,0.5063,0.5749,21500000,290.62
efficientnetv2_s_Lfull_pretrained_s2,efficientnetv2_s,full,pretrained,2,0.7407,47,46.1,0.9496,0.995,0.9275,0.4608,0.5406,21500000,294.63
vit_small_L1_pretrained_s0,vit_small,1,pretrained,0,0.3559,41,22.1,0.4562,0.794,0.4486,0.1823,0.2884,22000000,563.31
vit_small_L1_pretrained_s1,vit_small,1,pretrained,1,0.3762,36,23.6,0.4823,0.7723,0.4619,0.253,0.3213,22000000,566.77
vit_small_L1_pretrained_s2,vit_small,1,pretrained,2,0.3421,44,22.3,0.4386,0.7836,0.4361,0.2239,0.3286,22000000,553.09
vit_small_L2_pretrained_s0,vit_small,2,pretrained,0,0.5125,20,27.8,0.657,0.8613,0.6412,0.3485,0.4274,22000000,554.05
vit_small_L2_pretrained_s1,vit_small,2,pretrained,1,0.502,47,29.2,0.6436,0.8594,0.6327,0.322,0.4486,22000000,566.73
vit_small_L2_pretrained_s2,vit_small,2,pretrained,2,0.5234,39,27.4,0.6711,0.8917,0.6489,0.2955,0.4276,22000000,570.48
vit_small_L3_pretrained_s0,vit_small,3,pretrained,0,0.599,15,34.9,0.768,0.8947,0.7289,0.3681,0.4769,22000000,562.21
vit_small_L3_pretrained_s1,vit_small,3,pretrained,1,0.602,44,35.2,0.7717,0.8856,0.7491,0.3764,0.4856,22000000,554.7
vit_small_L3_pretrained_s2,vit_small,3,pretrained,2,0.6262,59,33.7,0.8028,0.9287,0.781,0.412,0.4979,22000000,561.57
vit_small_L4_pretrained_s0,vit_small,4,pretrained,0,0.6992,51,41.7,0.8964,0.9546,0.8747,0.4429,0.5405,22000000,549.63
vit_small_L4_pretrained_s1,vit_small,4,pretrained,1,0.6633,42,40.4,0.8504,0.9168,0.8181,0.4402,0.5345,22000000,568.71
vit_small_L4_pretrained_s2,vit_small,4,pretrained,2,0.7071,51,38.8,0.9066,0.9619,0.8929,0.4551,0.5384,22000000,552.89
vit_small_Lfull_pretrained_s0,vit_small,full,pretrained,0,0.7276,48,43.6,0.9328,0.9812,0.9221,0.4388,0.5466,22000000,563.8
vit_small_Lfull_pretrained_s1,vit_small,full,pretrained,1,0.7312,41,43.5,0.9374,0.9566,0.9185,0.4566,0.5459,22000000,563.42
vit_small_Lfull_pretrained_s2,vit_small,full,pretrained,2,0.7302,35,42.6,0.9362,0.9778,0.9117,0.4945,0.5877,22000000,568.54
swin_tiny_L1_pretrained_s0,swin_tiny,1,pretrained,0,0.4628,20,24.1,0.5934,0.8485,0.5794,0.2941,0.401,28300000,350.56
swin_tiny_L1_pretrained_s1,swin_tiny,1,pretrained,1,0.4705,20,22.3,0.6032,0.852,0.5767,0.3083,0.4077,28300000,343.33
swin_tiny_L1_pretrained_s2,swin_tiny,1,pretrained,2,0.4432,21,24.1,0.5682,0.8066,0.54,0.2749,0.3691,28300000,342.3
swin_tiny_L2_pretrained_s0,swin_tiny,2,pretrained,0,0.6294,25,27.5,0.807,0.9187,0.7799,0.4072,0.5196,28300000,358.51
swin_tiny_L2_pretrained_s1,swin_tiny,2,pretrained,1,0.6062,20,28.1,0.7772,0.9109,0.7798,0.393,0.5217,28300000,349.55
swin_tiny_L2_pretrained_s2,swin_tiny,2,pretrained,2,0.6213,56,29.5,0.7966,0.9108,0.777,0.3813,0.4946,28300000,352.93
swin_tiny_L3_pretrained_s0,swin_tiny,3,pretrained,0,0.6897,34,33.4,0.8843,0.9582,0.8547,0.4608,0.5242,28300000,338.04
swin_tiny_L3_pretrained_s1,swin_tiny,3,pretrained,1,0.7155,52,33.1,0.9173,0.9759,0.8826,0.4286,0.4693,28300000,369.36
swin_tiny_L3_pretrained_s2,swin_tiny,3,pretrained,2,0.701,30,34.2,0.8987,0.9539,0.8764,0.4181,0.5122,28300000,356.33
swin_tiny_L4_pretrained_s0,swin_tiny,4,pretrained,0,0.7308,15,38.1,0.9369,0.9814,0.9019,0.4864,0.619,28300000,342.9
swin_tiny_L4_pretrained_s1,swin_tiny,4,pretrained,1,0.7462,16,40.3,0.9567,0.9808,0.9421,0.4695,0.5986,28300000,362.52
swin_tiny_L4_pretrained_s2,swin_tiny,4,pretrained,2,0.7198,34,41.3,0.9228,0.9597,0.8906,0.4704,0.5391,28300000,345.69
swin_tiny_Lfull_pretrained_s0,swin_tiny,full,pretrained,0,0.7667,40,46.6,0.983,0.9692,0.9456,0.4577,0.5412,28300000,347.97
swin_tiny_Lfull_pretrained_s1,swin_tiny,full,pretrained,1,0.7463,44,46.9,0.9568,0.9848,0.918,0.4925,0.6058,28300000,354.45
swin_tiny_Lfull_pretrained_s2,swin_tiny,full,pretrained,2,0.7534,32,43.6,0.9659,1.0,0.9361,0.4768,0.5618,28300000,342.89
resnet50_L1_scratch_s0,resnet50,1,scratch,0,0.1939,30,85.6,0.2486,0.7028,0.2416,0.109,0.227,25600000,478.72
resnet50_L1_scratch_s1,resnet50,1,scratch,1,0.1848,22,83.6,0.2369,0.7003,0.2317,0.0895,0.1881,25600000,481.52
resnet50_L1_scratch_s2,resnet50,1,scratch,2,0.1723,46,72.6,0.2209,0.7017,0.2268,0.1054,0.2127,25600000,470.75
resnet50_L2_scratch_s0,resnet50,2,scratch,0,0.3464,58,100.6,0.4441,0.7669,0.4379,0.262,0.3385,25600000,492.89
resnet50_L2_scratch_s1,resnet50,2,scratch,1,0.3319,44,102.8,0.4256,0.7727,0.431,0.1797,0.2541,25600000,475.84
resnet50_L2_scratch_s2,resnet50,2,scratch,2,0.3637,24,111.7,0.4663,0.7889,0.4345,0.2434,0.3319,25600000,474.91
resnet50_L3_scratch_s0,resnet50,3,scratch,0,0.4764,39,120.9,0.6108,0.852,0.597,0.2717,0.3825,25600000,481.88
resnet50_L3_scratch_s1,resnet50,3,scratch,1,0.4458,55,129.0,0.5715,0.8331,0.5463,0.2601,0.3744,25600000,491.61
resnet50_L3_scratch_s2,resnet50,3,scratch,2,0.4611,25,124.1,0.5912,0.8368,0.5761,0.2832,0.3926,25600000,476.71
resnet50_L4_scratch_s0,resnet50,4,scratch,0,0.5673,46,147.0,0.7273,0.8805,0.6813,0.3958,0.5468,25600000,477.52
resnet50_L4_scratch_s1,resnet50,4,scratch,1,0.5415,41,138.8,0.6943,0.8758,0.6623,0.3587,0.4692,25600000,485.59
resnet50_L4_scratch_s2,resnet50,4,scratch,2,0.578,17,137.0,0.7411,0.8981,0.7154,0.3677,0.48,25600000,476.88
resnet50_Lfull_scratch_s0,resnet50,full,scratch,0,0.6684,32,175.3,0.857,0.941,0.8479,0.4064,0.5181,25600000,473.05
resnet50_Lfull_scratch_s1,resnet50,full,scratch,1,0.6424,59,164.7,0.8235,0.9415,0.7956,0.3779,0.4776,25600000,479.35
resnet50_Lfull_scratch_s2,resnet50,full,scratch,2,0.613,27,179.3,0.7859,0.8982,0.7671,0.3825,0.4312,25600000,482.18
convnext_tiny_L1_scratch_s0,convnext_tiny,1,scratch,0,0.1059,26,84.2,0.1357,0.6411,0.14,0.0748,0.2225,28600000,358.66
convnext_tiny_L1_scratch_s1,convnext_tiny,1,scratch,1,0.1297,50,80.5,0.1663,0.6728,0.1739,0.0727,0.164,28600000,366.33
convnext_tiny_L1_scratch_s2,convnext_tiny,1,scratch,2,0.1404,57,86.4,0.18,0.6674,0.1703,0.0963,0.1914,28600000,353.39
convnext_tiny_L2_scratch_s0,convnext_tiny,2,scratch,0,0.2608,58,110.8,0.3344,0.7105,0.3147,0.1489,0.2449,28600000,358.04
convnext_tiny_L2_scratch_s1,convnext_tiny,2,scratch,1,0.2569,37,107.9,0.3294,0.7312,0.33,0.1452,0.227,28600000,365.18
convnext_tiny_L2_scratch_s2,convnext_tiny,2,scratch,2,0.2728,32,98.6,0.3497,0.7469,0.3289,0.1746,0.2704,28600000,347.49
convnext_tiny_L3_scratch_s0,convnext_tiny,3,scratch,0,0.4163,56,113.0,0.5337,0.81,0.5075,0.2649,0.3875,28600000,352.62
convnext_tiny_L3_scratch_s1,convnext_tiny,3,scratch,1,0.4284,36,130.4,0.5492,0.8225,0.5404,0.2518,0.3294,28600000,360.47
convnext_tiny_L3_scratch_s2,convnext_tiny,3,scratch,2,0.4142,21,132.6,0.531,0.8105,0.5178,0.2686,0.3842,28600000,342.02
convnext_tiny_L4_scratch_s0,convnext_tiny,4,scratch,0,0.5148,19,157.0,0.66,0.8759,0.63,0.2928,0.3948,28600000,374.38
convnext_tiny_L4_scratch_s1,convnext_tiny,4,scratch,1,0.5073,58,142.4,0.6503,0.8564,0.6219,0.3254,0.4194,28600000,374.28
convnext_tiny_L4_scratch_s2,convnext_tiny,4,scratch,2,0.5169,42,159.4,0.6627,0.8559,0.6514,0.3442,0.453,28600000,365.08
convnext_tiny_Lfull_scratch_s0,convnext_tiny,full,scratch,0,0.6355,44,167.7,0.8148,0.9323,0.7938,0.3717,0.4734,28600000,373.45
convnext_tiny_Lfull_scratch_s1,convnext_tiny,full,scratch,1,0.651,47,174.2,0.8346,0.9474,0.8121,0.4443,0.5445,28600000,351.25
convnext_tiny_Lfull_scratch_s2,convnext_tiny,full,scratch,2,0.6302,41,188.0,0.8079,0.9238,0.7707,0.4029,0.5014,28600000,360.09
efficientnetv2_s_L1_scratch_s0,efficientnetv2_s,1,scratch,0,0.1599,41,79.4,0.205,0.6824,0.1968,0.0808,0.1778,21500000,290.0
efficientnetv2_s_L1_scratch_s1,efficientnetv2_s,1,scratch,1,0.164,53,86.9,0.2102,0.688,0.1861,0.1027,0.2226,21500000,300.31
efficientnetv2_s_L1_scratch_s2,efficientnetv2_s,1,scratch,2,0.1428,54,87.0,0.1831,0.6624,0.1811,0.0991,0.2249,21500000,298.94
efficientnetv2_s_L2_scratch_s0,efficientnetv2_s,2,scratch,0,0.2926,34,106.3,0.3751,0.7469,0.366,0.1835,0.272,21500000,294.98
efficientnetv2_s_L2_scratch_s1,efficientnetv2_s,2,scratch,1,0.3169,33,102.5,0.4062,0.7585,0.3965,0.2086,0.2858,21500000,311.5
efficientnetv2_s_L2_scratch_s2,efficientnetv2_s,2,scratch,2,0.2939,18,104.4,0.3768,0.7295,0.3468,0.189,0.2896,21500000,278.62
efficientnetv2_s_L3_scratch_s0,efficientnetv2_s,3,scratch,0,0.443,48,121.8,0.5679,0.8428,0.5396,0.2764,0.3613,21500000,297.39
efficientnetv2_s_L3_scratch_s1,efficientnetv2_s,3,scratch,1,0.4591,56,138.7,0.5885,0.8538,0.5675,0.3324,0.4331,21500000,301.05
efficientnetv2_s_L3_scratch_s2,efficientnetv2_s,3,scratch,2,0.4425,54,125.2,0.5673,0.8587,0.5588,0.2695,0.3889,21500000,296.08
efficientnetv2_s_L4_scratch_s0,efficientnetv2_s,4,scratch,0,0.5368,17,153.2,0.6882,0.8756,0.6703,0.3444,0.4511,21500000,305.33
efficientnetv2_s_L4_scratch_s1,efficientnetv2_s,4,scratch,1,0.5073,30,156.2,0.6504,0.8457,0.6303,0.3269,0.413,21500000,289.26
efficientnetv2_s_L4_scratch_s2,efficientnetv2_s,4,scratch,2,0.5163,26,155.4,0.6619,0.8589,0.6415,0.3365,0.4163,21500000,284.86
efficientnetv2_s_Lfull_scratch_s0,efficientnetv2_s,full,scratch,0,0.6012,44,174.4,0.7708,0.9082,0.7455,0.3833,0.4828,21500000,307.58
efficientnetv2_s_Lfull_scratch_s1,efficientnetv2_s,full,scratch,1,0.6145,34,168.8,0.7878,0.9034,0.7532,0.3997,0.5246,21500000,286.37
efficientnetv2_s_Lfull_scratch_s2,efficientnetv2_s,full,scratch,2,0.6188,19,181.6,0.7933,0.9118,0.7655,0.3974,0.4912,21500000,294.59
vit_small_L1_scratch_s0,vit_small,1,scratch,0,0.0255,16,81.9,0.0328,0.6179,0.0164,0.0242,0.1262,22000000,555.02
vit_small_L1_scratch_s1,vit_small,1,scratch,1,0.0711,24,79.4,0.0912,0.6342,0.0757,0.047,0.1255,22000000,563.18
vit_small_L1_scratch_s2,vit_small,1,scratch,2,0.0477,47,84.7,0.0611,0.6182,0.0692,0.0537,0.1824,22000000,544.95
vit_small_L2_scratch_s0,vit_small,2,scratch,0,0.0886,26,114.9,0.1136,0.6368,0.1114,0.0454,0.1421,22000000,558.64
vit_small_L2_scratch_s1,vit_small,2,scratch,1,0.1001,52,111.1,0.1283,0.649,0.1252,0.0643,0.1732,22000000,562.48
vit_small_L2_scratch_s2,vit_small,2,scratch,2,0.1028,57,106.1,0.1318,0.6412,0.127,0.0847,0.202,22000000,567.09
vit_small_L3_scratch_s0,vit_small,3,scratch,0,0.2027,21,108.8,0.2598,0.7159,0.2549,0.1228,0.2295,22000000,530.81
vit_small_L3_scratch_s1,vit_small,3,scratch,1,0.1681,51,136.2,0.2155,0.6907,0.2138,0.0845,0.1703,22000000,556.13
vit_small_L3_scratch_s2,vit_small,3,scratch,2,0.23,27,121.1,0.2949,0.7179,0.2901,0.1798,0.2824,22000000,559.72
vit_small_L4_scratch_s0,vit_small,4,scratch,0,0.2907,43,147.9,0.3727,0.7465,0.3541,0.2048,0.3055,22000000,559.15
vit_small_L4_scratch_s1,vit_small,4,scratch,1,0.3155,44,146.9,0.4045,0.768,0.3823,0.1814,0.3035,22000000,563.55
vit_small_L4_scratch_s2,vit_small,4,scratch,2,0.3192,41,154.7,0.4093,0.7484,0.3993,0.2193,0.3268,22000000,548.77
vit_small_Lfull_scratch_s0,vit_small,full,scratch,0,0.5122,48,188.0,0.6566,0.8596,0.6321,0.3457,0.4753,22000000,559.12
vit_small_Lfull_scratch_s1,vit_small,full,scratch,1,0.5125,48,172.0,0.6571,0.8705,0.6386,0.3311,0.4476,22000000,554.17
vit_small_Lfull_scratch_s2,vit_small,full,scratch,2,0.5005,47,169.3,0.6417,0.863,0.6225,0.3277,0.4411,22000000,563.03
swin_tiny_L1_scratch_s0,swin_tiny,1,scratch,0,0.0587,44,78.3,0.0753,0.6445,0.068,0.0045,0.0836,28300000,350.42
swin_tiny_L1_scratch_s1,swin_tiny,1,scratch,1,0.0737,58,84.2,0.0945,0.6344,0.0979,0.0541,0.1604,28300000,333.14
swin_tiny_L1_scratch_s2,swin_tiny,1,scratch,2,0.0723,39,87.4,0.0927,0.6153,0.0903,0.0463,0.1672,28300000,351.62
swin_tiny_L2_scratch_s0,swin_tiny,2,scratch,0,0.2106,22,102.1,0.27,0.7128,0.2566,0.135,0.2547,28300000,355.42
swin_tiny_L2_scratch_s1,swin_tiny,2,scratch,1,0.2035,57,100.5,0.2609,0.7141,0.2601,0.1325,0.2172,28300000,345.7
swin_tiny_L2_scratch_s2,swin_tiny,2,scratch,2,0.2269,19,105.6,0.2909,0.7068,0.2865,0.1206,0.2165,28300000,338.98
swin_tiny_L3_scratch_s0,swin_tiny,3,scratch,0,0.374,36,126.5,0.4794,0.7933,0.4692,0.2421,0.351,28300000,361.63
swin_tiny_L3_scratch_s1,swin_tiny,3,scratch,1,0.3439,21,130.4,0.4409,0.7877,0.4212,0.2192,0.2978,28300000,349.38
swin_tiny_L3_scratch_s2,swin_tiny,3,scratch,2,0.3479,52,128.9,0.4461,0.7673,0.4304,0.1912,0.2729,28300000,360.55
swin_tiny_L4_scratch_s0,swin_tiny,4,scratch,0,0.5118,26,153.2,0.6562,0.8566,0.6509,0.333,0.4299,28300000,350.88
swin_tiny_L4_scratch_s1,swin_tiny,4,scratch,1,0.4616,27,145.5,0.5918,0.8228,0.5586,0.309,0.4034,28300000,350.07
swin_tiny_L4_scratch_s2,swin_tiny,4,scratch,2,0.4804,20,153.7,0.6159,0.8482,0.5909,0.3325,0.4641,28300000,359.94
swin_tiny_Lfull_scratch_s0,swin_tiny,full,scratch,0,0.626,58,178.5,0.8026,0.9272,0.7845,0.4117,0.4897,28300000,339.15
swin_tiny_Lfull_scratch_s1,swin_tiny,full,scratch,1,0.596,24,162.6,0.7641,0.9187,0.7496,0.4118,0.5064,28300000,350.82
swin_tiny_Lfull_scratch_s2,swin_tiny,full,scratch,2,0.6096,55,176.4,0.7816,0.924,0.7545,0.3978,0.4781,28300000,350.02
